applicant_id,annual_income,self_reported_debt,self_reported_expenses,requested_amount,age,province,employment_status,months_employed,credit_score,credit_utilization,num_open_accounts,num_credit_inquiries,payment_history,total_credit_limit,monthly_expenses,estimated_debt,DTI,approved,approved_amount,interest_rate,monthly_income
A00023,61930.25443446889,838.6388621334328,7511.483678225826,18117.02476281965,86.0,ON,Part-time,285.0,742.0,31.880782475685727,10.0,10.0,On Time,59547.04500770337,1925.2769504813084,474.60159724011464,30.711887337578997,0,0.0,0.0,5160.85453620574
A00024,29366.97160105965,574.4227767828554,5897.796007780785,30000.0,62.0,ON,Full-time,560.0,702.0,16.7127880917148,8.0,5.0,On Time,31421.943590161965,4216.30869521146,131.28707116304827,47.224883667781484,1,0.0,0.0,2447.2476334216376
A00025,60278.62382840229,429.3859846298672,7691.86789995928,18699.914026480023,31.0,BC,Unemployed,97.0,677.0,15.294584931680404,18.0,5.0,On Time,77488.65095448226,8096.322536604532,296.2891883161667,20.03046160192811,1,15000.0,5.226002064626262,5023.218652366858
A00026,63288.65048713429,1018.6578091914018,4288.543613066385,13763.891373810106,51.0,ON,Part-time,600.0,764.0,11.326803548804056,17.0,10.0,On Time,68590.66209730401,7068.613462394095,194.22823871464075,26.911828410088678,1,13763.891373810106,8.816009448867387,5274.054207261191
A00027,33674.73767311809,415.4592801769649,7584.557473091266,30000.0,50.0,ON,Full-time,405.0,675.0,34.027480199324344,20.0,9.0,On Time,19303.42879136822,3846.4126305096047,164.2117602443374,36.6923496331175,1,0.0,0.0,2806.228139426508
A00028,72247.21143488212,1167.7609643694211,3718.0299127453577,19358.00149100979,66.0,BC,Unemployed,536.0,480.0,25.78562546504805,10.6,2.0,Late>60,105043.29265558792,3415.013519802935,677.1517505081058,35.46627245261496,0,0.0,0.0,6020.600952906843
A00029,44341.69257303298,706.1160109670534,2440.945724926024,1824.832673167512,23.0,ON,Unemployed,567.0,614.0,38.15743188409456,20.0,7.0,On Time,66815.4606907515,9643.238096488722,637.376597527937,37.09912777013515,0,1824.832673167512,9.57993164336335,3695.1410477527484
A00030,51748.62419153363,933.3250786946892,7290.134212929686,20124.165941127358,79.0,ON,Full-time,254.0,758.0,38.48901383502939,2.0,4.0,On Time,89076.5307573043,2633.7673701079734,857.1169561735766,48.51849625005077,1,0.0,0.0,4312.385349294469
A00031,44318.0221517441,632.8395595043129,4196.722921572683,30000.0,21.0,ON,Part-time,486.0,623.0,10.686551956685882,12.0,3.0,On Time,48674.444773351126,3081.415452314218,130.0404957583136,32.84117827577451,0,0.0,0.0,3693.1685126453417
A00032,151166.7924956226,1673.5938865646372,9813.771043261948,13463.61740151271,42.0,BC,Part-time,193.0,613.0,9.173385726297871,5.0,3.0,On Time,95100.02902325256,3472.9291261584094,218.0973122031046,16.61988397234314,1,10000.0,5.304209932711092,12597.23270796855
A00033,59471.43472691684,895.777270140749,3494.85182308101,22167.392028832703,52.0,BC,Part-time,515.0,686.0,45.30050398130675,5.0,4.0,Late 30-60,79072.82808520574,7829.676223581869,895.5097408717617,42.853472115420836,1,0.0,0.0,4955.952893909737
A00034,35282.57643022995,477.7848891593639,9217.27420531066,3779.0417758290505,60.0,ON,Full-time,463.0,789.0,46.7511266785129,10.0,10.0,On Time,24044.93731308795,8501.602067172842,281.0319775752691,27.736154528897156,1,3779.0417758290505,4.084102700735478,2940.2147025191625
A00035,90334.29492394529,1752.503731755624,9329.625485670796,29816.5467841839,38.0,BC,Part-time,503.0,725.0,59.601245419698856,8.0,9.0,On Time,47480.878360972114,2170.870894945637,707.4798709837919,38.61964238874964,0,15000.0,10.972167628447604,7527.857910328774
A00036,32518.94673824811,454.38066631801377,2418.529470647461,30000.0,59.0,ON,Unemployed,35.0,854.0,69.58756729961274,16.0,10.0,On Time,54237.54504774536,4073.766723861913,943.5647040439395,68.19207467830212,0,0.0,0.0,2709.9122281873424
A00037,66465.06813999795,900.047797729139,7982.211815880134,21252.315508654403,100.0,ON,Full-time,15.0,720.0,34.14977255533098,16.0,3.0,On Time,73451.60362983124,8653.960150009256,627.0888894457652,33.32736677708509,0,0.0,0.0,5538.755678333163
A00038,22475.13661965379,304.35080839114505,4330.745051445651,21591.399007271542,38.0,ON,Part-time,589.0,716.0,18.271703084524283,8.0,10.0,Late<30,28936.91276201904,3135.6765409090613,132.18166954259834,40.59971563658667,1,0.0,0.0,1872.9280516378158
A00039,30819.626053243825,364.3642068414163,9175.24727230348,5325.842430660905,24.0,ON,Full-time,72.0,656.0,58.55770961626365,18.0,5.0,On Time,46052.95986514742,4038.319687767109,674.1889626881868,43.54786670249551,1,0.0,0.0,2568.302171103652
A00040,66067.39378220949,593.9652334865921,4501.242726352388,10895.102361087143,75.0,ON,Full-time,319.0,524.0,56.613880891625165,2.0,7.0,On Time,72775.97605236282,5536.623350750115,1030.0326100000586,32.465473993937486,1,10000.0,11.327102016955058,5505.616148517457
A00041,86615.43310073898,1791.9415230920029,7443.037173373661,8579.08985326772,60.0,ON,Full-time,244.0,694.0,40.62708676842288,13.0,1.0,Late<30,49950.89409170967,6414.428809732049,507.3398271060476,33.637899543928064,0,8579.08985326772,7.090266012832243,7217.952758394916
A00042,65230.611586616986,1079.450052851817,4669.674091637979,24602.70066441536,43.0,ON,Part-time,194.0,684.0,12.381741005869031,14.0,6.0,On Time,57345.240843701766,3036.18046544802,177.50848001147446,29.912318832156142,1,0.0,0.0,5435.884298884749
A00043,56510.16761919293,765.241853176571,2278.007557128562,26933.52150658676,59.0,ON,Full-time,88.0,746.0,20.544276206903373,18.0,10.0,On Time,44728.463756327874,5758.683372418976,229.72847843011664,29.707358087474784,0,0.0,0.0,4709.180634932744
A00044,51505.720193659006,697.4732942891324,1993.501289446863,30000.0,59.0,ON,Full-time,138.0,710.0,34.90937167572128,0.0,5.0,On Time,101264.93453012442,7244.200241697105,883.7738093074239,47.324773154340896,0,0.0,0.0,4292.143349471584
A00045,28587.904987265712,524.3663898111247,4254.311942563456,4588.343709584462,21.0,ON,Full-time,562.0,706.0,17.431461165564432,3.0,3.0,On Time,46005.319979499815,900.8930833715444,200.48498715800415,33.31520234028063,0,4588.343709584462,7.228664492031898,2382.325415605476
A00046,41776.02526879508,717.1915425186318,7554.946570142149,30000.0,61.0,ON,Full-time,396.0,793.0,17.205794103281306,14.0,1.0,On Time,49183.9588407488,9993.218880627504,211.5622672495465,39.60416437601254,1,0.0,0.0,3481.3354390662566
A00047,47556.82612821127,418.3740849704512,6050.714851807668,26798.427839083823,64.0,ON,Full-time,483.0,653.0,38.89572077367527,14.0,0.0,On Time,28298.741447396795,9327.483736357288,275.17498639609425,27.64336255744176,1,0.0,0.0,3963.068844017606
A00048,101575.85244672927,1264.0377512184054,6886.292899005432,26295.42179885563,75.0,ON,Part-time,386.0,763.0,38.24220770671087,2.0,10.0,On Time,68439.3495890586,1529.182622677674,654.3179555742443,27.32287619231244,1,25000.0,6.599412266163223,8464.654370560773
A00049,71097.62025122158,1137.105420102965,2823.2635073194247,30000.0,92.0,BC,Part-time,367.0,808.0,46.33963282816355,4.0,7.0,On Time,122241.64744327177,3319.47350143459,1416.158264707758,50.68969128697308,0,0.0,0.0,5924.801687601798
A00050,24797.048731724328,466.39277007188656,4814.353459576055,11071.385064078837,69.0,ON,Full-time,457.0,624.0,72.59118747699434,0.0,7.0,On Time,47565.04524572323,2814.85390124123,863.2007791960034,72.37946780250091,0,0.0,0.0,2066.420727643694
A00051,70406.57866296772,1240.6247394849918,443.95264969327,2997.8904427272014,23.0,ON,Full-time,421.0,677.0,43.50250480824297,15.0,8.0,On Time,38514.178175525,220.74498782764795,418.8658053165757,29.050562043668503,1,0.0,0.0,5867.214888580643
A00052,49387.80744170998,1022.8511163089672,8175.324159581207,30000.0,91.0,ON,Part-time,231.0,603.0,21.508715349454576,15.0,4.0,On Time,92137.68040707806,5019.760981039518,495.4407852087151,47.82456246126969,1,0.0,0.0,4115.650620142498
A00053,42682.27466694224,554.7037720053207,9898.921622398746,17912.715742663026,33.0,ON,Full-time,538.0,544.0,25.856715317202312,15.0,8.0,On Time,45706.12474798971,1582.2818272555671,295.4525639653263,31.456066880441536,0,5868.812766704558,10.220563997367698,3556.856222245187
A00054,81294.86597642384,1442.919658505848,4068.790626246709,1861.905894413705,57.0,ON,Part-time,343.0,864.0,50.29951073305882,14.0,3.0,On Time,66698.2907622528,1367.4819699705122,838.7228480181532,34.09176312231083,0,1861.905894413705,5.925000642283827,6774.572164701986
A00055,100257.76126235512,982.7637437696666,109.6365313154335,13317.326357230277,88.0,ON,Full-time,137.0,900.0,35.64691869608435,4.0,10.0,On Time,65503.26155540665,2107.1993061517123,583.7473597484822,21.14075929848001,1,13317.326357230277,4.441073432632573,8354.813438529594
A00056,95381.51347379488,1452.4466741365584,1697.9263955094737,16157.01193662378,97.0,BC,Full-time,0.0,701.0,36.98653407617024,1.0,9.0,On Time,158106.62989484082,7595.766914645268,1461.9540635684916,39.71531759292154,1,0.0,0.0,7948.459456149573
A00057,39355.50877733504,532.9391813597454,6525.268777504189,30000.0,56.0,ON,Full-time,436.0,646.0,24.02986110619843,7.0,3.0,On Time,47359.07046170347,1291.880105820349,284.5079713283498,38.64609124559524,0,0.0,0.0,3279.6257314445866
A00058,60278.62382840229,1020.3044489265072,6120.793182038592,9456.703908414333,57.0,BC,Full-time,154.0,853.0,45.73441488812085,14.0,4.0,On Time,89700.32582872575,6284.705822450181,1025.5979792626415,43.55281221502334,0,0.0,0.0,5023.218652366858
A00059,70659.77352012864,956.851099751742,7878.647195855439,21239.663049716502,70.0,ON,Full-time,518.0,740.0,40.16938050726013,8.0,2.0,On Time,59300.206621511534,2907.8316340802166,595.5131409846608,31.774104443442784,1,0.0,0.0,5888.31446001072
A00060,60626.238235982615,820.980309445598,2538.840109610682,24641.296776473795,54.0,ON,Full-time,114.0,604.0,15.361261725236746,8.0,4.0,On Time,148014.98201804876,684.0429309178675,568.4242195088644,34.817083133307015,1,0.0,0.0,5052.186519665218
A00061,47118.11819444624,783.8800229818502,7636.31915547134,23502.632176840456,47.0,ON,Full-time,91.0,592.0,12.990338409215228,2.0,4.0,On Time,31907.567774040697,9779.460007069198,103.62252579993975,31.58127902265569,0,6478.741251736359,7.132304490956415,3926.5098495371863
A00062,54566.23215277364,754.405818929638,6879.840215236698,30000.0,49.0,ON,Full-time,345.0,761.0,47.1463465206334,14.0,10.0,On Time,34629.15107593897,5192.367311048309,408.159489085396,35.46292813841792,1,0.0,0.0,4547.1860127311365
A00063,34435.128959942755,539.8298255458571,3228.1449771384328,3229.7076517245096,84.0,ON,Full-time,593.0,718.0,35.00694008045529,17.0,9.0,On Time,24108.026055637347,2036.103851778276,210.98705589693782,27.852806840889194,1,3229.7076517245096,5.207592128492599,2869.5940799952295
A00064,32922.009273227784,445.81887557495963,5454.88148056962,30000.0,63.0,BC,Part-time,524.0,677.0,22.6882960434898,16.0,3.0,On Time,56406.988813872566,5061.794264580804,319.9446152827396,44.31431195226688,1,0.0,0.0,2743.500772768982
A00065,89882.89282516975,1774.0022897960023,1472.7380849832673,29514.923485707637,91.0,BC,Full-time,583.0,750.0,48.47471453334719,0.0,10.0,On Time,133334.94403352207,3885.396468059565,1615.8433373362018,51.16750508071664,0,0.0,0.0,7490.241068764146
A00066,117962.25911560976,1597.405592190549,4525.645034355826,30000.0,40.0,BC,Part-time,90.0,557.0,14.811044885281955,10.0,4.0,On Time,85716.91013599458,1753.5891039794938,317.3892508629739,24.056455284423354,1,0.0,0.0,9830.188259634147
A00067,57756.7173408317,677.2082038343334,8811.97339555641,22089.238282787697,28.0,ON,Part-time,397.0,602.0,8.880658467112545,0.0,4.0,Late<30,62213.12839014264,9611.916755053431,138.12338635087002,23.824141340866028,1,0.0,0.0,4813.059778402642
A00068,98890.3014846202,1339.1394992708986,4211.913798253908,23238.05618159204,39.0,ON,Full-time,104.0,592.0,6.268476976988191,5.0,8.0,On Time,162726.860358914,8593.227126671267,255.01239442435622,23.574276230369566,1,0.0,0.0,8240.858457051683
A00069,71741.02312282495,669.298637585276,8395.66706475422,30000.0,35.0,BC,Part-time,595.0,701.0,30.740581455412624,11.0,0.0,On Time,66612.37102622335,3692.366748844609,511.92575436744664,27.28521541980189,0,15000.0,5.967019427177405,5978.418593568746
A00070,43366.39548989126,587.2532722589442,5902.533652596944,30000.0,85.0,ON,Full-time,539.0,677.0,70.15464922231088,19.0,6.0,Late>60,81611.0274929283,8108.180873567795,1431.3482516096888,68.30915493847948,0,0.0,0.0,3613.866290824272
A00071,71732.3996692858,991.1908617267044,1918.767131023568,12695.755190133585,25.0,BC,Full-time,278.0,634.0,13.502263504916275,17.0,0.0,On Time,134276.1792863145,1896.033839673722,453.2580887892998,27.349737957834343,1,0.0,0.0,5977.699972440484
A00072,129187.26317483674,1753.905782947174,5811.062446978964,10762.85205064629,54.0,BC,Full-time,11.0,648.0,36.949489073585326,13.0,10.0,On Time,171735.24830533157,750.499989555864,1586.3824202018282,32.5270237748091,0,0.0,0.0,10765.60526456973
A00073,58811.164037321854,992.0351217420788,5059.833291570634,30000.0,85.0,BC,Part-time,306.0,747.0,21.531143315479664,12.0,0.0,On Time,85156.29563436836,5266.179826325382,458.37810137973514,38.776581029733784,0,0.0,0.0,4900.930336443488
A00074,130917.39462521822,1772.8397188831634,3986.41335196384,30000.0,95.0,ON,Full-time,363.0,661.0,19.82235514353332,10.6,2.0,On Time,193735.16473297376,3924.5540387908327,960.0718097819844,29.17483841877831,1,0.0,0.0,10909.782885434852
A00075,20000.0,182.59378822713515,1196.3043951607033,16795.399576902637,48.0,BC,Full-time,317.0,677.0,50.62516799011657,19.0,4.0,On Time,17754.053732652268,698.2652185641824,224.7004881802693,39.55351620365664,0,0.0,0.0,1666.6666666666667
A00076,90305.28385884808,1282.6826686177756,4167.086638472299,30000.0,89.0,ON,Full-time,537.0,549.0,36.91228464794833,17.0,8.0,On Time,94638.31949206637,5123.122848054137,873.3291469236578,34.629359933552955,0,0.0,0.0,7525.440321570673
A00077,62537.61746571148,846.8635698481763,727.6237623962711,30000.0,47.0,ON,Full-time,213.0,589.0,21.482033464077254,20.0,8.0,On Time,44020.95848137637,8196.224454620913,236.4149258044207,29.42123907729499,0,0.0,0.0,5211.4681221426235
A00078,51559.73538000993,770.0055290440957,987.6905139875124,30000.0,90.0,ON,Full-time,313.0,786.0,3.3722004870543936,17.0,10.0,Late<30,97309.05014434732,5273.189366267525,82.03640657289212,30.303691654440847,1,14178.927229502731,4.081616589868243,4296.644615000828
A00079,62685.18333619245,730.4463051105946,4159.16532932716,28632.2984381272,92.0,ON,Full-time,0.0,613.0,24.220389861968407,16.0,10.0,Late 30-60,99404.54382674224,539.1284136329277,601.9042013837055,33.72729993211611,1,7835.647917024055,9.706675273609472,5223.765278016038
A00080,22163.798590270853,341.6158662080639,3053.814819684637,20720.30373566951,51.0,ON,Full-time,398.0,861.0,10.092896275562346,4.0,0.0,On Time,12623.045720726055,3774.317584439585,31.850772785242306,37.04804619522506,1,0.0,0.0,1846.9832158559045
A00081,53646.10021714487,791.7739707094237,9255.443258622234,30000.0,77.0,BC,Full-time,221.0,742.0,12.171259623002795,5.0,2.0,On Time,71031.7914175642,2508.016022734365,216.13659370753896,32.61174009329444,0,0.0,0.0,4470.508351428739
A00082,71578.94788451088,969.2982526027515,3757.058053802705,30000.0,38.0,ON,Full-time,579.0,598.0,17.378155600715644,7.0,10.0,On Time,72624.75941128479,1485.4773714946111,315.5210923784613,29.083735867930198,1,0.0,0.0,5964.91232370924
A00083,125360.26894021804,1697.5869752321194,7578.581220721001,30000.0,47.0,ON,Full-time,261.0,618.0,28.198817766500703,3.0,0.0,On Time,215987.19576828557,4992.3861388737305,1522.6458933418494,35.13297697525745,0,0.0,0.0,10446.689078351503
A00084,46205.99778654184,774.0394523987723,5302.475263662427,17904.15943909804,71.0,ON,Full-time,495.0,677.0,60.94284648651951,0.0,0.0,Late<30,46931.4380394432,653.6023550375636,715.0338559573473,45.64694933490716,0,0.0,0.0,3850.4998155451535
A00085,39964.75415579039,541.1893791929948,7040.856686423354,30000.0,19.0,ON,Part-time,129.0,636.0,33.96444444073225,14.0,8.0,Late<30,58597.32913153997,631.5401084321293,497.5564324158727,44.70176313274782,0,0.0,0.0,3330.396179649199
A00086,46589.080946626,749.5232173428883,2601.159830153992,13632.08544604217,52.0,ON,Part-time,158.0,874.0,32.82446488766408,6.0,1.0,On Time,34877.07519060657,7767.172917120938,286.20533249462136,31.94421885116732,1,6199.774703239801,8.130580347134941,3882.4234122188336
A00087,94627.27747243758,880.4087685440309,9419.04972838329,13009.748958903172,62.0,BC,Full-time,290.0,843.0,63.67787570440973,11.4,0.0,Late<30,79683.47046790754,4275.302980801698,1268.518532037855,29.725976664369743,1,13009.748958903172,5.130854471313198,7885.606456036465
A00088,70571.06920252321,896.5752319351959,5300.884969144239,30000.0,32.0,ON,Part-time,542.0,583.2,45.32392976567889,5.0,5.0,On Time,66395.28015576773,7446.622682864331,752.3237536381475,35.68996206448235,0,6513.681800009328,6.336974247271329,5880.922433543601
A00089,45941.305719418975,716.7383351113128,8313.240712852497,26548.34207688382,55.0,BC,Part-time,88.0,740.0,31.76045445212465,6.0,1.0,On Time,34333.43699173281,3265.98189972677,272.6113904402054,36.24385075633391,0,0.0,0.0,3828.4421432849144
A00090,77391.61470441605,847.3125797706059,3650.456934761135,30000.0,53.0,BC,Unemployed,331.0,662.0,55.50617919482753,20.0,4.0,On Time,110584.00530504536,3501.7128452892275,1534.5239036359017,43.90919860073554,0,0.0,0.0,6449.3012253680035
A00091,62852.04647052314,851.1214626216677,1002.1134905052452,14202.486046656491,77.0,ON,Unemployed,505.0,689.0,47.26262611662828,5.0,2.0,Late 30-60,91635.88280729717,4282.509648899227,1082.738116997113,40.98953636443001,0,0.0,0.0,5237.670539210262
A00092,97180.22228070488,1315.9821767178787,6737.116477208488,30000.0,42.0,ON,Part-time,129.0,734.0,53.1069897679453,12.0,9.0,On Time,191933.9196870819,3044.9217494603554,2548.2581772358735,53.27306630139713,0,0.0,0.0,8098.351856725407
A00093,42149.30409370507,539.7128473688588,77.59648337424485,22752.74883545252,83.0,ON,Part-time,206.0,678.0,33.71191196233026,1.0,4.0,On Time,63378.18421624823,5590.442066332529,534.1499416576274,40.28974765738896,0,0.0,0.0,3512.4420078087555
A00094,50826.28528924849,924.0257069231202,4752.9297656550825,30000.0,24.0,BC,Part-time,359.0,601.0,33.73763927436493,4.0,7.0,On Time,64730.57333774517,728.9103577357625,545.9641833229177,45.33063660236878,1,0.0,0.0,4235.523774104041
A00095,49214.61560137578,1001.885845729534,1928.0190266645925,15253.106879966748,86.0,ON,Full-time,58.0,672.0,21.219984689213653,2.0,5.0,Late<30,91978.73377401703,5573.671756306024,487.94683060447505,41.905338693381154,1,0.0,0.0,4101.217966781315
A00096,28803.221742713624,390.0436277659137,6273.755044353622,30000.0,56.0,ON,Full-time,95.0,544.0,38.51807333924634,20.0,10.0,On Time,50187.34500023677,7137.326488235197,483.2799588552946,55.1323153406325,0,0.0,0.0,2400.268478559469
A00097,69429.01471093169,940.1845742105334,9794.19873137852,30000.0,19.0,BC,Part-time,245.0,677.0,27.108376176337067,8.0,10.0,On Time,91862.8775130541,9922.192771919725,622.5633600661615,34.788013789165035,0,0.0,0.0,5785.751225910974
A00098,68222.35909639139,1154.3134767244364,4644.02906320646,13735.90721902846,59.0,BC,Full-time,458.0,589.0,22.829629247857923,2.0,10.0,On Time,86439.34015605856,6374.894475675456,493.3445220480737,32.60567294846281,1,10000.0,8.031056124472974,5685.196591365949
A00099,60027.41949034858,812.8713055984704,8174.982565256667,15730.40743292646,49.0,ON,Part-time,144.0,736.0,54.06084183747747,11.0,7.0,On Time,114829.6789320978,7089.548076217037,1551.9472777491146,51.991734115966324,0,0.0,0.0,5002.284957529048
A00100,53247.51593163687,942.609495018981,5077.8418695112105,30000.0,54.0,BC,Part-time,309.0,571.0,32.50083672767139,2.0,5.0,On Time,75914.48112338915,5951.996152995725,616.8210390642907,45.285054123383965,1,0.0,0.0,4437.292994303073
A00101,29504.98847781363,517.6669357723874,4958.400311040241,30000.0,91.0,ON,Full-time,533.0,663.0,73.9032358818677,16.0,3.0,On Time,46342.56348198134,9509.56021938858,856.2163500948238,74.17931868322617,0,0.0,0.0,2458.7490398178024
A00102,48517.37880494381,497.0944743331173,9304.234931787778,30000.0,72.0,BC,Full-time,380.0,707.0,19.03534757369676,14.0,3.0,Late<30,30566.849285930217,8097.73724693724,145.4626500976216,27.02265830534299,1,0.0,0.0,4043.114900411984
A00103,60278.62382840229,526.4272516074376,8899.658687466816,30000.0,49.0,ON,Full-time,352.0,663.0,8.616174212338157,16.0,9.0,On Time,79575.1952802936,6151.48750765042,171.4084363789597,22.850601724166555,1,13872.428115956976,5.749958724531142,5023.218652366858
A00104,40089.16452318904,687.8857079131477,7858.004651879744,20247.578130674403,47.0,ON,Full-time,284.0,743.0,48.72318549497457,6.0,9.0,Late<30,35960.89313938125,3326.784770320479,438.0323167487579,42.79355921608405,0,0.0,0.0,3340.7637102657536
A00105,55235.27920593197,707.8047017936609,2962.557533167841,20347.83004578024,21.0,ON,Full-time,270.8,724.0,37.27006252542456,8.0,2.0,Late 30-60,37190.29377372556,3244.3400785302247,346.5211435714149,29.536411849746315,1,15000.0,5.79742803136007,4602.939933827664
A00106,73278.71241277449,636.3485555307252,5450.084157239406,13486.06355857469,76.0,ON,Part-time,257.0,637.0,34.283553436842155,17.0,7.0,On Time,130033.01385742544,7532.73397148654,1114.4984447836705,31.98426210369707,1,0.0,0.0,6106.559367731207
A00107,153751.50136631745,3133.5560588208336,2238.97233305685,8684.851294921786,79.0,ON,Full-time,0.0,621.0,9.189649061067628,1.0,9.0,On Time,236283.25163897287,9285.99619945029,542.8400403925233,29.71029617123036,1,8684.851294921786,9.863219418389937,12812.625113859787
